primaryName,region,appearances
Harrison Ford,US,33
Christian Bale,US,31
Carrie Fisher,US,28
Peter Mayhew,US,28
Anthony Daniels,US,28
Mark Hamill,US,28
Gary Oldman,US,27
John Ratzenberger,IN,27
Tom Hanks,IN,25
Michael Caine,US,25
Morgan Freeman,US,24
Mark Ruffalo,US,23
Frank Oz,US,21
David Schwimmer,US,21
Cillian Murphy,US,20
Scarlett Johansson,US,20
Mark Ruffalo,IN,20
Christian Bale,IN,19
David Prowse,US,19
Alec Guinness,US,19
Scarlett Johansson,IN,19
Kenny Baker,US,19
Don Cheadle,US,18
Chris Evans,US,18
Robert Downey Jr.,US,18
Leonardo DiCaprio,US,18
Harrison Ford,FI,18
Chadwick Boseman,US,18
John Ratzenberger,US,16
Harrison Ford,JP,16
Billy Dee Williams,US,16
Ben Burtt,IN,16
Chris Evans,IN,16
Robert Downey Jr.,IN,16
Don Cheadle,IN,16
Chadwick Boseman,IN,16
Karleen Griffin,IN,16
Harrison Ford,GR,15
Gary Oldman,IN,15
Peter Mayhew,FI,15
Michael Caine,IN,15
Anthony Daniels,FI,15
Tom Hardy,US,15
Mark Hamill,FI,15
Carrie Fisher,FI,15
Harrison Ford,ES,15
Sala Baker,US,15
Anthony Daniels,JP,14
Orlando Bloom,US,14
Robert De Niro,US,14
Harrison Ford,IT,14
Carrie Fisher,JP,14
Mark Hamill,JP,14
Lisa Kudrow,US,14
Leonardo DiCaprio,IN,14
Courteney Cox,US,14
Peter Mayhew,JP,14
Daniel Gerson,IN,14
Anne Hathaway,US,13
James Earl Jones,US,13
Robert De Niro,IN,13
Marion Cotillard,US,13
Leonardo DiCaprio,CA,13
Joseph Gordon-Levitt,US,13
Joaquin Phoenix,IN,13
Peter Cushing,US,12
Vicki Lewis,IN,12
Harrison Ford,TR,12
Anthony Daniels,GR,12
Elijah Wood,US,12
Mark Hamill,GR,12
Carrie Fisher,IT,12
Leonardo DiCaprio,GR,12
Samuel L. Jackson,IN,12
Giovanni Ribisi,IN,12
Peter Mayhew,GR,12
Mark Hamill,IT,12
Carrie Fisher,GR,12
Phil Brown,US,12
Anthony Daniels,IT,12
Morgan Freeman,IN,12
Tom Hanks,US,12
Peter Mayhew,IT,12
Mark Ruffalo,CA,12
Sala Baker,FI,12
Sala Baker,KZ,12
Millie Bobby Brown,US,12
Cillian Murphy,IN,11
Sala Baker,ES,11
Christian Bale,JP,11
Elijah Wood,FI,11
Tom Hanks,FI,11
Tom Hanks,CA,11
Mark Hamill,ES,11
Anthony Daniels,ES,11
Leonardo DiCaprio,KZ,11
Bob Peterson,US,11
Elijah Wood,KZ,11
Orlando Bloom,KZ,11
Frank Oz,IN,11
