genre,decade,avg_rating
Adventure,1990,7.100475630629549
Adventure,2000,7.190438944777216
Adventure,2010,7.2665242741606715
Adventure,2020,7.392935308330773
Animation,1990,7.204692075834481
Animation,2000,7.192854909280664
Animation,2010,7.239765068886634
Animation,2020,7.442854688051352
Biography,1990,6.9091095658761335
Biography,2000,7.07851207464142
Biography,2010,7.305715493513955
Biography,2020,7.453179272935253
Documentary,1990,7.222777697211602
Documentary,2000,7.18994762236721
Documentary,2010,7.350591877503876
Documentary,2020,7.330845475614778
History,1990,7.242729186833741
History,2000,7.329212531844629
History,2010,7.418256953947927
History,2020,7.5086482902475185
